type,datasheets,image,corporatePartNumber,manufacturerPartNumber,manufacturer,description,unitPrice,packaging,series,resistance,tolerance,power,composition,features,temperatureCoefficient,operatingTemperature,sizeDimension
Resistor,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,http://media.digikey.com/Renders/Stackpole%20Renders/CF%201k.jpg,CF14JT1K00TR-ND,CF14JT1K00,Stackpole Electronics Inc,RES 1K OHM 1/4W 5% CARBON FILM,0.00475,Tape & Reel (TR),CF,1k,±5%,"0.25W, 1/4W",Carbon Film,"Flame Retardant Coating, Moisture Resistant, Safety",0/ -400ppm/°C,-55°C ~ 155°C,"0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)"
Resistor,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,http://media.digikey.com/Renders/Stackpole%20Renders/CF%201k.jpg,CF14JT1K00CT-ND,CF14JT1K00,Stackpole Electronics Inc,RES 1K OHM 1/4W 5% CARBON FILM,0.1,Cut Tape (CT),CF,1k,±5%,"0.25W, 1/4W",Carbon Film,"Flame Retardant Coating, Moisture Resistant, Safety",0/ -400ppm/°C,-55°C ~ 155°C,"0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)"
Resistor,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,http://media.digikey.com/Renders/Stackpole%20Renders/CF%2010k.jpg,CF14JT10K0TR-ND,CF14JT10K0,Stackpole Electronics Inc,RES 10K OHM 1/4W 5% CARBON FILM,0.00475,Tape & Reel (TR),CF,10k,±5%,"0.25W, 1/4W",Carbon Film,"Flame Retardant Coating, Moisture Resistant, Safety",0/ -500ppm/°C,-55°C ~ 155°C,"0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)"
Resistor,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,http://media.digikey.com/Renders/Stackpole%20Renders/CF%2010k.jpg,CF14JT10K0CT-ND,CF14JT10K0,Stackpole Electronics Inc,RES 10K OHM 1/4W 5% CARBON FILM,0.1,Cut Tape (CT),CF,10k,±5%,"0.25W, 1/4W",Carbon Film,"Flame Retardant Coating, Moisture Resistant, Safety",0/ -500ppm/°C,-55°C ~ 155°C,"0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)"
Resistor,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,http://media.digikey.com/Renders/Stackpole%20Renders/CF%20100k.jpg,CF14JT100KTR-ND,CF14JT100K,Stackpole Electronics Inc,RES 100K OHM 1/4W 5% CARBON FILM,0.00475,Tape & Reel (TR),CF,100k,±5%,"0.25W, 1/4W",Carbon Film,"Flame Retardant Coating, Moisture Resistant, Safety",0/ -850ppm/°C,-55°C ~ 155°C,"0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)"
Resistor,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,http://media.digikey.com/Renders/Stackpole%20Renders/CF%20100k.jpg,CF14JT100KCT-ND,CF14JT100K,Stackpole Electronics Inc,RES 100K OHM 1/4W 5% CARBON FILM,0.1,Cut Tape (CT),CF,100k,±5%,"0.25W, 1/4W",Carbon Film,"Flame Retardant Coating, Moisture Resistant, Safety",0/ -850ppm/°C,-55°C ~ 155°C,"0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)"
Resistor,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,http://media.digikey.com/Renders/Stackpole%20Renders/CF%204-7k.jpg,CF14JT4K70TR-ND,CF14JT4K70,Stackpole Electronics Inc,RES 4.7K OHM 1/4W 5% CARBON FILM,0.00475,Tape & Reel (TR),CF,4.7k,±5%,"0.25W, 1/4W",Carbon Film,"Flame Retardant Coating, Moisture Resistant, Safety",0/ -400ppm/°C,-55°C ~ 155°C,"0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)"
Resistor,http://www.seielect.com/catalog/SEI-CF_CFM.pdf,http://media.digikey.com/Renders/Stackpole%20Renders/CF%204-7k.jpg,CF14JT4K70CT-ND,CF14JT4K70,Stackpole Electronics Inc,RES 4.7K OHM 1/4W 5% CARBON FILM,0.1,Cut Tape (CT),CF,4.7k,±5%,"0.25W, 1/4W",Carbon Film,"Flame Retardant Coating, Moisture Resistant, Safety",0/ -400ppm/°C,-55°C ~ 155°C,"0.091"" Dia x 0.256"" L (2.30mm x 6.50mm)"
Resistor,http://www.seielect.com/catalog/SEI-CD.pdf,http://media.digikey.com/photos/Stackpole%20Photos/CD%201^4%200%20R.JPG,CD14ZT0R00TR-ND,CD14ZT0R00,Stackpole Electronics Inc,RES 0.0 OHM 1/4W JUMP AXIAL,0.0057,Tape & Reel (TR),CD,0,Jumper,"0.25W, 1/4W",Carbon Film,-,-,-55°C ~ 155°C,"0.091"" Dia x 0.236"" L (2.30mm x 6.00mm)"
Resistor,http://www.seielect.com/catalog/SEI-CD.pdf,http://media.digikey.com/photos/Stackpole%20Photos/CD%201^4%200%20R.JPG,CD14ZT0R00CT-ND,CD14ZT0R00,Stackpole Electronics Inc,RES 0.0 OHM 1/4W JUMP AXIAL,0.1,Cut Tape (CT),CD,0,Jumper,"0.25W, 1/4W",Carbon Film,-,-,-55°C ~ 155°C,"0.091"" Dia x 0.236"" L (2.30mm x 6.00mm)"
Resistor,http://www.seielect.com/Catalog/SEI-RNF_RNMF.pdf,http://media.digikey.com/Renders/Stackpole%20Renders/RNMF14%2082k.jpg,S85KCATR-ND,RNMF14FTC82K0,Stackpole Electronics Inc,RES 82K OHM 1/4W 1% AXIAL,0.00855,Tape & Reel (TR),RNMF,82k,±1%,"0.25W, 1/4W",Metal Film,"Flame Retardant Coating, Moisture Resistant, Safety",±50ppm/°C,-55°C ~ 155°C,"0.070"" Dia x 0.130"" L (1.78mm x 3.30mm)"
Resistor,http://www.seielect.com/Catalog/SEI-RNF_RNMF.pdf,http://media.digikey.com/Renders/Stackpole%20Renders/RNMF14%2082k.jpg,S85KCACT-ND,RNMF14FTC82K0,Stackpole Electronics Inc,RES 82K OHM 1/4W 1% AXIAL,0.14,Cut Tape (CT),RNMF,82k,±1%,"0.25W, 1/4W",Metal Film,"Flame Retardant Coating, Moisture Resistant, Safety",±50ppm/°C,-55°C ~ 155°C,"0.070"" Dia x 0.130"" L (1.78mm x 3.30mm)"
Resistor,http://www.vishay.com/docs/28729/pr010203.pdf,http://media.digikey.com/Renders/Vishay%20BC%20Renders/PR01%20620K%20OHM.jpg,PPC680W-1TR-ND,PR01000106800JR500,Vishay BC Components,RES 680 OHM 1W 5% AXIAL,0.0255,Tape & Reel (TR),PR01,680,±5%,1W,Metal Film,"Automotive AEC-Q200, Flame Retardant Coating, Safety",±250ppm/°C,-55°C ~ 155°C,"0.098"" Dia x 0.256"" L (2.50mm x 6.50mm)"
Resistor,http://www.vishay.com/docs/28729/pr010203.pdf,http://media.digikey.com/Renders/Vishay%20BC%20Renders/PR01%20620K%20OHM.jpg,PPC680W-1CT-ND,PR01000106800JR500,Vishay BC Components,RES 680 OHM 1W 5% AXIAL,0.37,Cut Tape (CT),PR01,680,±5%,1W,Metal Film,"Automotive AEC-Q200, Flame Retardant Coating, Safety",±250ppm/°C,-55°C ~ 155°C,"0.098"" Dia x 0.256"" L (2.50mm x 6.50mm)"
Resistor,http://www.vishay.com/docs/28737/nfr25.pdf,http://media.digikey.com/Renders/Vishay%20BC%20Renders/180%20OHM.jpg,PPC1.0KBTR-ND,NFR25H0001001JR500,Vishay BC Components,RES 1K OHM 1/2W 5% AXIAL,0.04703,Tape & Reel (TR),NFR25H,1k,±5%,"0.5W, 1/2W",Metal Film,"Flame Proof, Fusible, Safety",±100ppm/°C,-55°C ~ 155°C,"0.098"" Dia x 0.256"" L (2.50mm x 6.50mm)"
Resistor,http://www.vishay.com/docs/28737/nfr25.pdf,http://media.digikey.com/Renders/Vishay%20BC%20Renders/180%20OHM.jpg,PPC1.0KBCT-ND,NFR25H0001001JR500,Vishay BC Components,RES 1K OHM 1/2W 5% AXIAL,0.59,Cut Tape (CT),NFR25H,1k,±5%,"0.5W, 1/2W",Metal Film,"Flame Proof, Fusible, Safety",±100ppm/°C,-55°C ~ 155°C,"0.098"" Dia x 0.256"" L (2.50mm x 6.50mm)"
Resistor,http://www.vishay.com/docs/28733/28733.pdf,http://media.digikey.com/Renders/Vishay%20BC%20Renders/VR37%2020M%20OHM.jpg,PPCHHJ22MTR-ND,VR37000002205JR500,Vishay BC Components,RES 22M OHM 1/2W 5% AXIAL,0.0675,Tape & Reel (TR),VR37,22M,±5%,"0.5W, 1/2W",Metal Film,"High Voltage, Pulse Withstanding",±200ppm/°C,-55°C ~ 155°C,"0.157"" Dia x 0.354"" L (4.00mm x 9.00mm)"
Resistor,http://www.vishay.com/docs/28733/28733.pdf,http://media.digikey.com/Renders/Vishay%20BC%20Renders/VR37%2020M%20OHM.jpg,PPCHHJ22MCT-ND,VR37000002205JR500,Vishay BC Components,RES 22M OHM 1/2W 5% AXIAL,0.7,Cut Tape (CT),VR37,22M,±5%,"0.5W, 1/2W",Metal Film,"High Voltage, Pulse Withstanding",±200ppm/°C,-55°C ~ 155°C,"0.157"" Dia x 0.354"" L (4.00mm x 9.00mm)"
Resistor,http://www.vishay.com/docs/30260/hvr2537.pdf,http://media.digikey.com/Renders/Vishay%20BC%20Renders/HVR37%201M%205.jpg,PPCHJ1.0MTR-ND,HVR3700001004JR500,Vishay BC Components,RES 1M OHM 1/2W 5% AXIAL,0.08046,Tape & Reel (TR),HVR37,1M,±5%,"0.5W, 1/2W",Metal Film,"Flame Retardant Coating, High Voltage, Pulse Withstanding, Safety",±200ppm/°C,-55°C ~ 155°C,"0.157"" Dia x 0.394"" L (4.00mm x 10.00mm)"
Resistor,http://www.vishay.com/docs/30260/hvr2537.pdf,http://media.digikey.com/Renders/Vishay%20BC%20Renders/HVR37%201M%205.jpg,PPCHJ1.0MCT-ND,HVR3700001004JR500,Vishay BC Components,RES 1M OHM 1/2W 5% AXIAL,0.59,Cut Tape (CT),HVR37,1M,±5%,"0.5W, 1/2W",Metal Film,"Flame Retardant Coating, High Voltage, Pulse Withstanding, Safety",±200ppm/°C,-55°C ~ 155°C,"0.157"" Dia x 0.394"" L (4.00mm x 10.00mm)"
Resistor,http://www.vishay.com/docs/30260/hvr2537.pdf,http://media.digikey.com/Renders/Vishay%20BC%20Renders/HVR37%2010M.jpg,PPCHF10MTR-ND,HVR3700001005FR500,Vishay BC Components,RES 10M OHM 1/2W 1% AXIAL,0.09363,Tape & Reel (TR),HVR37,10M,±1%,"0.5W, 1/2W",Metal Film,"Flame Retardant Coating, High Voltage, Pulse Withstanding, Safety",±200ppm/°C,-55°C ~ 155°C,"0.157"" Dia x 0.394"" L (4.00mm x 10.00mm)"
Resistor,http://www.vishay.com/docs/30260/hvr2537.pdf,http://media.digikey.com/Renders/Vishay%20BC%20Renders/HVR37%2010M.jpg,PPCHF10MCT-ND,HVR3700001005FR500,Vishay BC Components,RES 10M OHM 1/2W 1% AXIAL,0.54,Cut Tape (CT),HVR37,10M,±1%,"0.5W, 1/2W",Metal Film,"Flame Retardant Coating, High Voltage, Pulse Withstanding, Safety",±200ppm/°C,-55°C ~ 155°C,"0.157"" Dia x 0.394"" L (4.00mm x 10.00mm)"
